9.583445310592651367e+00	4.118969541879176077e+00	5.464475768713475290e+00
1.437632083892822266e+01	1.024597515731464270e+01	4.130345681613579956e+00
1.917675948143005371e+01	1.556226971033884610e+01	3.614489771091207615e+00
2.077727413177490234e+01	1.996250839795133913e+01	8.147657338235632096e-01
2.397749090194702148e+01	2.224354155244846254e+01	1.733949349498558945e+00
2.877723956108093262e+01	2.434382320424483126e+01	4.433416356836101357e+00
3.677737259864807129e+01	2.880969564210738199e+01	7.967676956540689304e+00
4.477645683288574219e+01	3.790274857194216906e+01	6.873708260943573123e+00
4.957719302177429199e+01	4.534094515133027414e+01	4.236247870444017849e+00
5.437650513648986816e+01	4.987410666363790313e+01	4.502398472851965039e+00
5.757650303840637207e+01	5.533817075706563315e+01	2.238332281340738916e+00
6.237654590606689453e+01	5.787927109234682632e+01	4.497274813720068209e+00
6.877658033370971680e+01	6.336832872991728038e+01	5.408251603792436413e+00
7.197746872901916504e+01	6.980734758810328344e+01	2.170121140915881597e+00
7.357793831825256348e+01	7.273828181804321957e+01	8.396565002093439034e-01
7.997958874702453613e+01	7.482813099141894497e+01	5.151457755605591160e+00
8.478007626533508301e+01	8.140804838226617335e+01	3.372027883068909659e+00
8.957782292366027832e+01	8.513441134677954381e+01	4.443411576880734515e+00
9.277684831619262695e+01	9.058962334456683152e+01	2.187224971625795433e+00
1.007768228054046631e+02	9.362164112045853415e+01	7.155181684946128939e+00
1.071759591102600098e+02	1.022698387872265187e+02	4.906120323033491104e+00
1.199758925437927246e+02	1.076600500392603834e+02	1.231584250453234120e+01
1.231762163639068604e+02	1.205690394844451276e+02	2.607176879461732710e+00
1.279760458469390869e+02	1.232593261752073914e+02	4.716719671731695485e+00
1.343761460781097412e+02	1.283713576197512225e+02	6.004788458358518710e+00
1.375812764167785645e+02	1.355440223200013179e+02	2.037254096777246559e+00
1.439805898666381836e+02	1.379360594531981121e+02	6.044530413440071470e+00
1.487810595035552979e+02	1.445365316742574464e+02	4.244527829297851440e+00
1.503816986083984375e+02	1.488965569514882361e+02	1.485141656910201391e+00
1.520745368003845215e+02	1.514935924697913379e+02	5.809443305931836221e-01
1.551820919513702393e+02	1.535281577300610252e+02	1.653934221309214081e+00
1.583828308582305908e+02	1.559794751695357320e+02	2.403355688694858827e+00
1.631837015151977539e+02	1.599253965467692922e+02	3.258304968428461734e+00
1.647849943637847900e+02	1.638499961774809606e+02	9.349981863038294705e-01
1.695774035453796387e+02	1.659629751716665282e+02	3.614428373713110432e+00
1.759773950576782227e+02	1.704079234820158320e+02	5.569471575662390705e+00
1.791775181293487549e+02	1.763798027591359130e+02	2.797715370212841890e+00
1.823774549961090088e+02	1.801505829876528537e+02	2.226872008456155072e+00
1.855774865150451660e+02	1.837815205165837256e+02	1.795965998461440449e+00
1.919775052070617676e+02	1.859204954595386141e+02	6.057009747523153464e+00
1.983776230812072754e+02	1.926256615939104790e+02	5.751961487296796349e+00
2.015775847434997559e+02	1.998318852879988299e+02	1.745699455500925978e+00
2.047775621414184570e+02	2.023979699184029357e+02	2.379592223015521313e+00
2.111769812107086182e+02	2.059313842445404532e+02	5.245596966168164954e+00
2.175825991630554199e+02	2.113292929387363870e+02	6.253306224319032935e+00
2.223843076229095459e+02	2.181063511360763414e+02	4.277956486833204508e+00
2.303846054077148438e+02	2.225760137946112991e+02	7.808591613103544660e+00
2.335768048763275146e+02	2.310140431316709169e+02	2.562761744656597784e+00
2.367769477367401123e+02	2.346677693828419251e+02	2.109178353898187197e+00
2.399769973754882812e+02	2.370497921625049287e+02	2.927205212983352567e+00
2.431770598888397217e+02	2.414113862596260844e+02	1.765673629213637241e+00
2.511779034137725830e+02	2.446613370570263442e+02	6.516566356746238853e+00
2.575768110752105713e+02	2.515112745460031647e+02	6.065536529207406602e+00
2.591763687133789062e+02	2.579288463639616680e+02	1.247522349417238274e+00
2.639762225151062012e+02	2.601276001696223261e+02	3.848622345483875051e+00
2.671761794090270996e+02	2.642504278470875079e+02	2.925751561939591738e+00
2.687761883735656738e+02	2.674186310167980878e+02	1.357557356767586043e+00
2.751762096881866455e+02	2.701250183822025406e+02	5.051191305984104929e+00
2.783774507045745850e+02	2.763469062641210030e+02	2.030544440453581956e+00
2.879765157699584961e+02	2.794974391403844720e+02	8.479076629574024082e+00
2.911776139736175537e+02	2.889810095351233485e+02	2.196604438494205169e+00
2.991781058311462402e+02	2.917306430591028175e+02	7.447462772043422774e+00
3.007786011695861816e+02	2.993082861424066436e+02	1.470315027179537992e+00
3.039807417392730713e+02	3.021314984918219579e+02	1.849243247451113348e+00
0.000000000000000000e+00	3.060348322389718305e+02	0.000000000000000000e+00
0.000000000000000000e+00	3.091168577648140854e+02	0.000000000000000000e+00
