trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.1499626636505127	stim	0		0								11.723525524139404	0.008345842361450195
0	0.12557458877563477	response	0	space									11.699137449264526	
1	0.1583085060119629	stim	0		0								11.731871366500854	37.357770919799805
1	37.4863646030426	pulse	0	t									49.059927463531494	
1	37.51607942581177	stim	1		0								49.08964228630066	0.001140594482421875
1	37.51722002029419	stim	0		0								49.09078288078308	24.000576496124268
1	39.08093619346619	pulse	0	t									50.65449905395508	
1	40.42282199859619	response	0	b									51.99638485908508	
1	40.68113303184509	pulse	0	t									52.254695892333984	
1	42.281392335891724	pulse	0	t									53.854955196380615	
1	43.88165235519409	pulse	0	t									55.45521521568298	
1	45.27362823486328	response	0	b									56.84719109535217	
1	45.48185157775879	pulse	0	t									57.05541443824768	
1	47.0820894241333	pulse	0	t									58.65565228462219	
1	48.49062466621399	response	0	b									60.06418752670288	
1	48.68230628967285	pulse	0	t									60.25586915016174	
1	50.282816886901855	pulse	0	t									61.85637974739075	
1	51.28276062011719	response	0	b									62.85632348060608	
1	51.88296675682068	pulse	0	t									63.45652961730957	
1	53.48317766189575	pulse	0	t									65.05674052238464	
1	54.591591119766235	response	0	b									66.16515398025513	
1	55.083300828933716	pulse	0	t									66.65686368942261	
1	56.68352007865906	pulse	0	t									68.25708293914795	
1	58.28411340713501	pulse	0	t									69.8576762676239	
1	59.88408184051514	pulse	0	t									71.45764470100403	
1	60.49241805076599	response	0	b									72.06598091125488	
1	61.48425507545471	pulse	0	t									73.0578179359436	
2	61.51779651641846	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	73.09135937690735	23.994918823242188
2	63.08063364028931	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	74.6541965007782	
2	64.6806755065918	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	76.25423836708069	
2	66.28060126304626	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	77.85416412353516	
2	66.60075497627258	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	78.17431783676147	
2	67.88063073158264	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	79.45419359207153	
2	69.48068237304688	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.05424523353577	
2	69.60063624382019	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.17419910430908	
2	71.0807135105133	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	82.6542763710022	
2	72.68066668510437	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	84.25422954559326	
2	74.28068089485168	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	85.85424375534058	
2	74.98865103721619	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	86.56221389770508	
2	75.88067126274109	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	87.45423412322998	
