trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.08225316647440195	stim	0		0								9.197442124597728	1.8819821667857468
0	1.957537499954924	response	0	space									11.07272645807825	
1	1.9642353332601488	stim	0		0								11.079424291383475	0.7878886666148901
1	2.736187124857679	pulse	0	t									11.851376082981005	
1	2.752123999875039	stim	1		0								11.867312957998365	4.00586170819588
1	3.239347791299224	pulse	1	t									12.35453674942255	
1	3.415341083193198	pulse	1	t									12.530530041316524	
1	3.6028284998610616	pulse	1	t									12.718017457984388	
1	3.7732918749097735	pulse	1	t									12.8884808330331	
1	3.9510529164690524	pulse	1	t									13.066241874592379	
2	6.757985708070919	stim	0		0	-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	15.873174666194245	15.997004291741177
2	8.593657249817625	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	17.70884620794095	
2	8.735527124954388	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	17.850716083077714	
2	8.88622699980624	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.001415957929567	
2	9.042117625009269	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.157306583132595	
2	9.134046999970451	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.249235958093777	
2	9.344527374953032	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.459716333076358	
2	9.450659583089873	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.5658485412132	
2	9.591694458154961	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.706883416278288	
2	9.73791916645132	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	18.853108124574646	
2	9.895953124854714	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	19.01114208297804	
2	10.162947416305542	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	19.27813637442887	
2	10.778655749978498	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	19.893844708101824	
2	10.894430625019595	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.00961958314292	
2	11.047985083190724	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.16317404131405	
2	11.179571666289121	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.294760624412447	
2	11.321196333039552	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.43638529116288	
2	11.487474916502833	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.60266387462616	
2	11.638031666399911	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.753220624523237	
2	11.780752499820665	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	20.89594145794399	
2	11.915148541331291	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	21.030337499454618	
2	12.048408499918878	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	21.163597458042204	
2	17.085157208144665	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	26.20034616626799	
2	17.253328583203256	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	26.368517541326582	
2	17.43259208323434	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	26.547781041357666	
2	17.563307791482657	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	26.678496749605983	
2	17.708783166483045	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	26.82397212460637	
2	17.989156999858096	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	27.104345957981423	
2	18.745900666341186	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	27.861089624464512	
2	18.937602083198726	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	28.052791041322052	
2	19.138359958073124	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	28.25354891619645	
2	19.436021958244964	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	28.55121091636829	
2	19.629579291446134	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	28.74476824956946	
2	19.793772041331977	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	28.908960999455303	
2	19.98597479145974	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	29.101163749583066	
2	20.221629416337237	pulse	0	t		-1.0	1.0	-1.0	4.0	0.0333333333333	0.1333333333333	0.0666666666667	29.336818374460563	
