trial_nr	onset	event_type	phase	response	nr_frames	bar_width	bar_refresh_time	bar_direction	start_time	bar_blank_duration	bar_blank_interval	bg_stim_refresh_time	onset_abs	duration
0	0.1414928436279297	stim	0		0								10.282701015472412	0.11661911010742188
0	0.24995207786560059	response	0	space									10.391160249710083	
1	0.25811195373535156	stim	0		0								10.399320125579834	38.65888237953186
1	38.89713740348816	pulse	0	t									49.03834557533264	
1	38.91699433326721	stim	1		0								49.058202505111694	0.0010170936584472656
1	38.91801142692566	stim	0		0								49.05921959877014	23.99954867362976
1	40.48957061767578	pulse	0	t									50.630778789520264	
1	42.089640855789185	pulse	0	t									52.23084902763367	
1	42.106228828430176	response	0	b									52.24743700027466	
1	43.68984818458557	pulse	0	t									53.831056356430054	
1	45.29008913040161	pulse	0	t									55.431297302246094	
1	46.15699625015259	response	0	b									56.29820442199707	
1	46.89034152030945	pulse	0	t									57.03154969215393	
1	48.49057102203369	pulse	0	t									58.631779193878174	
1	50.09080195426941	pulse	0	t									60.23201012611389	
1	50.54205346107483	response	0	b									60.68326163291931	
1	51.691067934036255	pulse	0	t									61.83227610588074	
1	52.7829487323761	response	0	b									62.92415690422058	
1	53.2912757396698	pulse	0	t									63.43248391151428	
1	54.89158844947815	pulse	0	t									65.03279662132263	
1	56.49178385734558	pulse	0	t									66.63299202919006	
1	57.33362627029419	response	0	b									67.47483444213867	
1	58.09195899963379	pulse	0	t									68.23316717147827	
1	59.69226789474487	pulse	0	t									69.83347606658936	
1	61.29248118400574	pulse	0	t									71.43368935585022	
1	61.667585372924805	response	0	b									71.80879354476929	
1	62.893266677856445	pulse	0	t									73.03447484970093	
2	62.91756010055542	stim	0		0	0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	73.0587682723999	24.003610610961914
2	64.48594212532043	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	74.62715029716492	
2	65.0259017944336	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	75.16710996627808	
2	66.08592343330383	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	76.22713160514832	
2	67.68581295013428	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	77.82702112197876	
2	69.28604221343994	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	79.42725038528442	
2	70.88605499267578	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.02726316452026	
2	71.78616213798523	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	81.92737030982971	
2	72.48601460456848	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	82.62722277641296	
2	74.08604550361633	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	84.22725367546082	
2	75.68605828285217	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	85.82726645469666	
2	77.14906716346741	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	87.29027533531189	
2	77.28603172302246	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	87.42723989486694	
2	78.88612580299377	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	89.02733397483826	
2	80.16107940673828	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	90.30228757858276	
2	80.48605227470398	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	90.62726044654846	
2	82.08614349365234	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	92.22735166549683	
2	83.68608784675598	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	93.82729601860046	
2	84.73414421081543	response	0	b		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	94.87535238265991	
2	85.28611969947815	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	95.42732787132263	
2	86.88613533973694	pulse	0	t		0.16666667	0.0666666666667	270.0	24.0	0.0333333333333	0.1333333333333	0.0666666666667	97.02734351158142	
3	86.92117071151733	stim	0		0	0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	97.06237888336182	24.003634929656982
3	87.85912036895752	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	98.000328540802	
3	88.48612689971924	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	98.62733507156372	
3	90.08623242378235	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	100.22744059562683	
3	91.68620252609253	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	101.82741069793701	
3	93.28621649742126	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	103.42742466926575	
3	94.680171251297	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	104.82137942314148	
3	94.88612961769104	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	105.02733778953552	
3	96.48622274398804	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	106.62743091583252	
3	97.02516627311707	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	107.16637444496155	
3	98.08619379997253	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	108.22740197181702	
3	99.68623638153076	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	109.82744455337524	
3	99.88118934631348	response	0	b		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	110.02239751815796	
3	101.28625774383545	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	111.42746591567993	
3	102.88628697395325	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	113.02749514579773	
3	104.48648977279663	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	114.62769794464111	
3	106.08629322052002	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	116.2275013923645	
3	107.68630123138428	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	117.82750940322876	
3	109.2863335609436	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	119.42754173278809	
3	110.88634705543518	pulse	0	t		0.16666667	0.0666666666667	0.0	48.0	0.0333333333333	0.1333333333333	0.0666666666667	121.02755522727966	
4	110.92480564117432	stim	0		0	-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	121.0660138130188	15.994196653366089
4	112.49188423156738	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	122.63309240341187	
4	114.01710391044617	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	124.15831208229065	
4	114.09205412864685	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	124.23326230049133	
4	115.6923553943634	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	125.83356356620789	
4	116.15076804161072	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	126.2919762134552	
4	117.29290413856506	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	127.43411231040955	
4	118.8929238319397	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	129.03413200378418	
4	120.4931161403656	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	130.63432431221008	
4	122.09345817565918	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	132.23466634750366	
4	123.44455480575562	response	0	b		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	133.5857629776001	
4	123.68638730049133	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	133.82759547233582	
4	125.28654503822327	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	135.42775321006775	
4	126.88720917701721	pulse	0	t		-1.0	1.0	-1.0	72.0	0.0333333333333	0.1333333333333	0.0666666666667	137.0284173488617	
5	126.9190022945404	stim	0		0	0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	137.0602104663849	24.003565788269043
5	128.48634266853333	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	138.6275508403778	
5	128.65945196151733	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	138.80066013336182	
5	130.0863540172577	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	140.22756218910217	
5	131.02046871185303	response	0	b		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	141.1616768836975	
5	131.686518907547	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	141.82772707939148	
5	133.28666424751282	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	143.4278724193573	
5	134.88670349121094	pulse	0	t		0.16666667	0.0666666666667	90.0	88.0	0.0333333333333	0.1333333333333	0.0666666666667	145.02791166305542	
